"world_rank","university_name","national_rank","total_score","alumni","award","hici","ns","pub","pcp","year","lon","lat"
"153-202","University of Bern","5-6",NA,16.6,0,11.1,23.5,35.5,26.8,2005,121.0977098,14.6037344
"153-202","University of Cincinnati","72-90",NA,0,0,24.8,12.1,44.8,20.6,2005,-84.5138565,39.1288979
"153-202","University of Delaware","72-90",NA,14,0,20.8,15.9,36.2,17.9,2005,-117.7759092,33.7105331
"153-202","University of East Anglia","16-19",NA,17.7,0,17.6,20.2,25.1,16.5,2005,1.2406141,52.6184758
"153-202","University of Gothenburg","5",NA,0,15.8,0,18.6,40.4,13.9,2005,11.9853213,57.6954209
"153-202","University of Kiel","12-16",NA,15.4,15.8,11.1,14.6,33.5,18.2,2005,10.1147022,54.3460549
"153-202","University of Koeln","12-16",NA,0,12.9,7.9,19.1,36.6,18.7,2005,6.9288192,50.9281625
"153-202","University of Leicester","16-19",NA,0,0,19.2,19.9,35.4,19.1,2005,-1.1064677,52.6084655
"153-202","University of Leipzig","12-16",NA,17.7,15.8,0,10,37.3,18.5,2005,12.3784615,51.3385738
"153-202","University of Mainz","12-16",NA,0,8.3,15.7,13.5,37.9,18.7,2005,8.2415552,49.9926403
"153-202","University of Marburg","12-16",NA,17.7,0,15.7,12.6,34.7,17.9,2005,8.7741641,50.8106859
"153-202","University of Maryland, Baltimore","72-90",NA,0,0,19.2,18.6,38.4,19.9,2005,-76.6245825,39.2879915
"153-202","University of Montreal","6-8",NA,15.4,0,7.9,12.1,50.4,22.7,2005,-90.350862,38.6816147
"153-202","University of Nebraska - Lincoln","72-90",NA,17.7,0,15.7,17.2,36.8,18.2,2005,-96.7004763,40.8201966
"153-202","University of New South Wales","5-6",NA,0,0,19.2,14.3,47,17.6,2005,151.710005,-32.8871981
"153-202","University of Notre Dame","72-90",NA,16.6,0,11.1,18.9,34.1,20,2005,-86.2377772,41.6973401
"153-202","University of Padua","4-5",NA,0,0,13.6,13.7,46.3,16.9,2005,11.8774462,45.406766
"153-202","University of Paris Descartes (Paris 5)","6-8",NA,16,12.2,11.1,12.4,27.8,15.5,2005,2.340761,48.851251
"153-202","University of Paris Diderot (Paris 7)","6-8",NA,18.2,14.1,11.1,15.6,34.5,18.6,2005,2.3817936,48.8293187
"153-202","University of Southampton","16-19",NA,0,0,20.8,11.9,43.4,21,2005,-1.3962068,50.9340275
"153-202","University of Tennessee - Knoxville","72-90",NA,14,0,20.8,18,39.3,17.1,2005,-83.9294564,35.9544013
"153-202","University of Turin","4-5",NA,21.7,0,11.1,10.8,38.2,16.8,2005,7.6889006,45.069428
"153-202","University of Wageningen","5-7",NA,0,0,23.6,17,35.2,23.8,2005,5.6657696,51.9845558
"153-202","Virginia Commonwealth University","72-90",NA,14,14.4,20.8,7.7,33.4,17.4,2005,-77.4534286,37.5489872
"153-202","Virginia Polytechnic Institute and State University","72-90",NA,15.4,0,17.6,12.4,40.3,17,2005,-80.4234167,37.2283843
"153-202","VU University Amsterdam","5-7",NA,0,0,17.6,15.8,42.7,21.6,2005,4.8658302,52.3344753
"203-300","Chalmers University of Technology","6-9",NA,0,0,17.6,9.8,31,18.1,2005,11.9777584,57.6883684
"203-300","Charles University in Prague","1",NA,15.4,0,0,11.3,37.1,17.1,2005,14.4234889,50.0871106
"203-300","Claude Bernard University Lyon 1","9-13",NA,15.4,0,0,11.5,36.5,16.9,2005,4.862939,45.779462
"203-300","Complutense University of Madrid","3",NA,0,0,0,12.6,41.3,18.3,2005,-3.7285872,40.4478246
"203-300","Dalhousie University","9-17",NA,0,0,15.7,18.1,34.8,18,2005,-97.1453994,49.7887693
"203-300","Delft University of Technology","8-9",NA,15.4,0,0,21.9,36.2,15.8,2005,4.3570677,52.0115769
"203-300","Ecole Polytechnique","9-13",NA,22.6,0,7.9,14.1,28.4,15.4,2005,2.2112917,48.7142971
"203-300","George Mason University","91-119",NA,0,32.9,11.1,0,24.3,18.3,2005,-77.3115849,38.8343675
"203-300","Georgetown University","91-119",NA,0,0,7.9,13.5,34.8,19.7,2005,-77.0722585,38.9076089
"203-300","Hiroshima University","10-13",NA,0,0,7.9,10.4,40.6,19.2,2005,132.714908,34.403123
"203-300","Kansas State University","91-119",NA,0,0,11.1,12.7,31.8,15.8,2005,-96.5847249,39.1974437
"203-300","Keio University","10-13",NA,0,0,7.9,14.2,36.5,17,2005,139.7429376,35.6489643
"203-300","Kobe University","10-13",NA,0,0,13.6,15,33.1,16.9,2005,135.2353953,34.7256185
"203-300","Lancaster University","20-30",NA,0,0,17.6,10.2,28.4,14.8,2005,-2.7850105,54.0101034
"203-300","Laval University","9-17",NA,0,0,15.7,11.4,37.2,17.8,2005,-71.2747424,46.7817463
"203-300","London School of Economics and Political Science","20-30",NA,19.8,0,15.7,NA,26.1,16.2,2005,-0.1173766,51.5144077
"203-300","Louisiana State University - Baton Rouge","91-119",NA,0,0,13.6,11.8,39,15.6,2005,-91.1800023,30.4132579
"203-300","Macquarie University","7-9",NA,0,0,13.6,15.9,25.6,17.9,2005,151.1185824,-33.7775092
"203-300","Monash University","7-9",NA,0,0,7.9,15.4,44.6,14.7,2005,145.1340508,-38.1532011
"203-300","National and Kapodistrian University of Athens","1",NA,0,0,7.9,5.9,40.1,17.5,2005,23.7786871,37.968196
"203-300","Newcastle University","20-30",NA,0,0,11.1,20.1,37.8,18.8,2005,151.710005,-32.8871981
"203-300","Norwegian University of Science and Technology","2",NA,18.8,0,0,15.7,30.5,15.6,2005,10.402077,63.419499
"203-300","Okayama University","10-13",NA,0,0,7.9,10.4,36,18.3,2005,133.9222225,34.6873868
"203-300","Paul Sabatier University (Toulouse 3)","9-13",NA,0,6.4,7.9,16.9,33.8,16.6,2005,1.4688585,43.5603781
"203-300","Peking University","2",NA,0,0,0,11.3,52.2,17.2,2005,116.3065393,39.9939231
"203-300","Queen Mary, U. of London","20-30",NA,24.3,0,15.7,7.4,30.2,16.5,2005,-0.0403745,51.5240671
"203-300","Queen's University Belfast","20-30",NA,23.5,0,0,10.8,33.5,16.5,2005,-5.9340494,54.5844087
"203-300","Radboud University Nijmegen","8-9",NA,0,0,7.9,18.8,40.1,19.9,2005,5.8372264,51.8125626
"203-300","Royal Institute of Technology","6-9",NA,0,15.8,7.9,10.9,35.1,17.1,2005,18.0706645,59.3498065
"203-300","RWTH Aachen University","17-23",NA,6.3,0,7.9,7.4,39,17.3,2005,6.0656869,50.7800778
"203-300","State University of Campinas","2",NA,0,0,7.9,6.2,40.6,17.8,2005,-47.0647206,-22.8184393
"203-300","State University of New York at Albany","91-119",NA,0,0,22.2,9.8,29.1,20,2005,-73.8255313,42.6858364
"203-300","State University of New York at Buffalo","91-119",NA,0,0,15.7,11.5,39.1,16.1,2005,-78.7889697,43.0008093
"203-300","Swedish University of Agricultural Sciences","6-9",NA,0,0,13.6,17,29.9,14.8,2005,17.6628688,59.814947
"203-300","Syracuse University","91-119",NA,0,0,15.7,14.1,26.8,15.2,2005,-76.1351158,43.0391534
"203-300","Technical University of Berlin","17-23",NA,23.5,0,11.1,8.9,29.7,15.7,2005,13.3269446,52.5125322
"203-300","The Chinese University of Hong Kong","1-3",NA,0,0,13.6,5.1,43.3,21.6,2005,114.2109318,22.4162632
"203-300","The George Washington University","91-119",NA,15.4,0,11.1,12.6,32.9,17.6,2005,-77.0485992,38.8997145
